date,open,high,low,close,volume,short,middle,long,bear_fractal,bull_fractal
2021-03-24 00:00:00,255.605,257.218,251.0,251.853,203137.61,251.85,251.85,251.85,False,False
2021-03-24 01:00:00,251.855,256.143,251.57,255.768,107423.77,253.41,252.63,252.26,False,False
2021-03-24 02:00:00,255.776,257.2,254.977,255.951,66097.98,254.43,253.29,252.65,False,False
2021-03-24 03:00:00,255.962,256.999,254.574,256.516,97919.78,255.26,253.94,253.05,False,False
2021-03-24 04:00:00,256.517,257.245,254.884,255.439,99957.52,255.33,254.24,253.31,False,False
2021-03-24 05:00:00,255.409,255.991,253.249,255.811,82670.97,255.52,254.55,253.57,False,True
2021-03-24 06:00:00,255.749,259.164,254.494,257.816,156516.54,256.44,255.2,254.02,False,False
2021-03-24 07:00:00,257.829,259.95,257.6,259.732,125375.41,257.75,256.11,254.62,False,False
2021-03-24 08:00:00,259.777,261.899,259.42,260.02,136908.89,258.66,256.89,255.18,False,False
2021-03-24 09:00:00,260.066,264.848,260.066,263.715,187653.37,260.68,258.25,256.08,False,False
2021-03-24 10:00:00,263.715,264.493,261.8,263.93,133731.98,261.98,259.39,256.91,False,False
2021-03-24 11:00:00,263.956,265.173,262.692,263.377,92621.8,262.54,260.18,257.59,False,False
2021-03-24 12:00:00,263.352,268.643,263.352,267.082,233317.41,264.35,261.56,258.59,False,False
2021-03-24 13:00:00,267.082,268.807,263.668,265.501,200896.77,264.81,262.35,259.31,True,False
2021-03-24 14:00:00,265.5,266.2,263.0,263.675,136298.57,264.35,262.61,259.77,False,False
2021-03-24 15:00:00,263.704,264.5,260.737,262.953,151776.11,263.79,262.68,260.11,False,False
2021-03-24 16:00:00,262.961,263.9,259.508,260.638,151999.39,262.53,262.27,260.16,False,False
2021-03-24 17:00:00,260.651,263.38,259.981,261.557,110653.31,262.14,262.13,260.31,False,False
2021-03-24 18:00:00,261.616,262.667,258.112,258.226,115168.78,260.57,261.35,260.09,False,False
2021-03-24 19:00:00,258.244,259.5,254.0,255.096,216684.17,258.38,260.09,259.56,False,False
2021-03-24 20:00:00,255.096,259.027,251.65,257.281,298436.11,257.94,259.53,259.32,False,False
2021-03-24 21:00:00,257.281,257.966,254.0,255.148,110837.37,256.82,258.65,258.88,False,False
2021-03-24 22:00:00,255.189,255.204,240.0,246.962,574865.37,252.87,256.31,257.63,False,True
2021-03-24 23:00:00,247.003,250.998,245.697,248.468,190442.27,251.11,254.74,256.66,False,False
2021-03-25 00:00:00,248.52,250.084,246.0,247.886,167742.88,249.82,253.37,255.74,False,False
2021-03-25 01:00:00,247.901,248.481,241.548,241.971,171813.06,246.68,251.09,254.29,False,False
2021-03-25 02:00:00,241.957,243.358,238.062,240.839,283889.43,244.34,249.04,252.87,False,True
2021-03-25 03:00:00,240.787,242.764,238.121,240.95,139587.2,242.98,247.42,251.62,False,False
2021-03-25 04:00:00,240.964,242.93,238.794,241.741,108801.63,242.48,246.28,250.58,False,False
2021-03-25 05:00:00,241.735,246.308,241.0,245.703,125719.1,243.77,246.17,250.06,False,False
2021-03-25 06:00:00,245.671,249.129,245.409,247.526,131140.37,245.27,246.44,249.8,True,False
2021-03-25 07:00:00,247.53,248.377,241.5,242.121,157415.45,244.01,245.57,248.99,False,False
2021-03-25 08:00:00,242.116,246.285,241.538,244.881,156394.01,244.36,245.43,248.55,False,False
2021-03-25 09:00:00,244.893,247.101,243.625,246.751,84779.26,245.31,245.7,248.36,False,False
2021-03-25 10:00:00,246.719,247.216,244.632,246.769,105998.26,245.89,245.91,248.2,False,False
2021-03-25 11:00:00,246.798,247.559,241.832,241.946,143524.91,244.31,245.12,247.54,True,False
2021-03-25 12:00:00,241.947,243.345,222.902,230.072,1072485.62,238.61,242.11,245.7,False,True
2021-03-25 13:00:00,230.015,235.785,226.898,234.349,405377.58,236.91,240.55,244.5,False,False
2021-03-25 14:00:00,234.35,236.663,230.46,232.104,290642.81,234.98,238.86,243.2,False,False
2021-03-25 15:00:00,232.103,233.979,229.274,231.106,270494.39,233.43,237.31,241.92,False,False
2021-03-25 16:00:00,231.089,234.671,228.528,232.151,332044.57,232.92,236.28,240.89,False,True
2021-03-25 17:00:00,232.113,234.448,231.0,234.16,155144.42,233.41,235.85,240.19,False,False
2021-03-25 18:00:00,234.177,238.854,233.5,237.215,193749.27,234.93,236.12,239.87,True,False
2021-03-25 19:00:00,237.177,237.846,233.839,235.92,126264.81,235.32,236.08,239.46,False,False
2021-03-25 20:00:00,235.92,237.888,234.51,236.152,122205.6,235.65,236.1,239.11,False,False
2021-03-25 21:00:00,236.152,237.888,235.152,237.386,79258.19,236.34,236.35,238.93,False,False
2021-03-25 22:00:00,237.427,239.77,234.113,234.931,130963.95,235.78,236.07,238.5,False,False
2021-03-25 23:00:00,234.937,236.659,233.003,233.852,95833.82,235.01,235.62,238.01,False,True
2021-03-26 00:00:00,233.849,241.237,233.744,240.87,149530.6,237.35,236.67,238.31,False,False
2021-03-26 01:00:00,240.825,242.766,239.845,242.739,96302.53,239.5,237.88,238.78,False,False
2021-03-26 02:00:00,242.74,243.567,237.8,238.59,121851.96,239.14,238.02,238.76,True,False
2021-03-26 03:00:00,238.656,243.462,238.52,241.634,121745.28,240.13,238.75,239.06,False,False
2021-03-26 04:00:00,241.596,242.616,239.71,242.123,91921.01,240.93,239.42,239.38,False,False
2021-03-26 05:00:00,242.107,243.331,241.101,243.319,84029.23,241.88,240.2,239.8,False,False
2021-03-26 06:00:00,243.276,243.516,240.312,241.015,99189.79,241.53,240.36,239.92,False,False
2021-03-26 07:00:00,241.016,246.448,240.054,246.064,172624.33,243.34,241.5,240.57,False,True
2021-03-26 08:00:00,246.113,248.222,244.1,244.857,215551.25,243.95,242.17,241.02,False,False
2021-03-26 09:00:00,244.845,247.099,244.559,246.043,99419.31,244.78,242.94,241.55,False,False
2021-03-26 10:00:00,246.045,248.443,245.669,246.99,104597.39,245.66,243.75,242.12,False,False
2021-03-26 11:00:00,247.055,248.405,245.063,247.13,163595.05,246.25,244.43,242.65,False,False
2021-03-26 12:00:00,247.137,251.487,245.962,248.817,243467.88,247.27,245.3,243.3,True,False
2021-03-26 13:00:00,248.829,249.604,245.473,249.087,212814.46,248.0,246.06,243.91,False,False
2021-03-26 14:00:00,249.07,249.58,247.835,248.327,127401.24,248.13,246.51,244.37,False,False
2021-03-26 15:00:00,248.372,248.995,246.878,247.851,74276.71,248.01,246.78,244.74,False,False
2021-03-26 16:00:00,247.866,251.5,245.677,250.737,238477.65,249.1,247.57,245.37,False,True
2021-03-26 17:00:00,250.661,251.989,249.703,251.523,121933.01,250.07,248.36,246.01,True,False
2021-03-26 18:00:00,251.514,251.79,248.433,249.366,88423.62,249.79,248.56,246.37,False,False
2021-03-26 19:00:00,249.375,250.324,248.4,250.229,78738.75,249.96,248.89,246.77,False,True
2021-03-26 20:00:00,250.228,253.087,250.21,251.7,124141.84,250.65,249.45,247.29,False,False
